gpu_type,model_name,num_servers,is_prefix_cached,benchmark_label,router_strategy,output_len,max_concurrency,with_warmup,max_conversations,num_prompts,duration,completed,request_throughput,input_throughput,output_throughput,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,mean_e2e_latency_ms,median_e2e_latency_ms
L4,Qwen/Qwen2.5-1.5B-Instruct,1,True,1-gpu_1-concurrency,prefix_aware,32,1,True,1000,100,50.4722,100,1.9813,1723.4833,63.4012,60.9442,44.8764,34.9937,141.1322,14.2953,14.2751,0.0904,14.4893,14.326,14.2409,0.9889,15.0226,504.0975,488.7816
L4,Qwen/Qwen2.5-1.5B-Instruct,1,True,1-gpu_1-concurrency,random,32,1,True,1000,100,50.7247,100,1.9714,1714.9034,63.0856,62.1978,45.5028,35.8398,143.2564,14.337,14.3185,0.088,14.5266,14.3677,14.2802,1.0083,15.2242,506.6455,491.4518
L4,Qwen/Qwen2.5-1.5B-Instruct,1,True,1-gpu_1-concurrency,round_robin,32,1,True,1000,100,50.8938,100,1.9649,1709.2061,62.876,62.9736,45.0596,36.9114,145.7287,14.3659,14.3495,0.0885,14.5492,14.3965,14.3098,1.009,15.2629,508.3168,490.7775
L4,Qwen/Qwen2.5-1.5B-Instruct,1,True,1-gpu_1-concurrency_with-warmup,prefix_aware,32,1,True,1000,100,47.3263,100,2.113,1838.0489,67.6157,31.7124,31.1098,2.548,38.9126,14.2223,14.1957,0.0721,14.406,14.2522,14.2042,0.9695,14.7342,472.6026,471.0967
L4,Qwen/Qwen2.5-1.5B-Instruct,1,True,1-gpu_1-concurrency_with-warmup,random,32,1,True,1000,100,47.3302,100,2.1128,1837.8961,67.6101,31.0975,30.5038,1.9844,36.6388,14.2447,14.2178,0.0731,14.4212,14.2745,14.2121,0.9856,14.909,472.6829,471.2623
L4,Qwen/Qwen2.5-1.5B-Instruct,1,True,1-gpu_1-concurrency_with-warmup,round_robin,32,1,True,1000,100,47.6316,100,2.0994,1826.2666,67.1823,31.5116,31.0093,2.0531,36.6272,14.3282,14.3045,0.0712,14.509,14.3587,14.2993,1.0045,14.9659,475.6849,474.477
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,4-gpus_4-concurrency,prefix_aware,32,4,True,1000,400,51.5073,400,7.7659,6868.6565,248.5084,53.0579,39.0347,38.4823,182.1785,14.8277,14.5612,0.9547,18.2666,14.8695,14.3265,5.2353,28.058,512.7155,498.1331
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,4-gpus_4-concurrency,random,32,4,True,1000,400,54.8387,400,7.2941,6451.3882,233.4116,67.6711,52.7582,40.8638,223.669,15.4591,14.8586,1.6007,20.4468,15.5078,14.4216,7.7331,46.0353,546.9036,534.7192
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,4-gpus_4-concurrency,round_robin,32,4,True,1000,400,50.8668,400,7.8637,6955.1438,251.6375,61.8043,53.3005,33.8114,142.3631,14.3362,14.2513,0.4409,16.7487,14.3839,14.2109,3.0413,20.4621,506.2264,493.4951
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,4-gpu_4-concurrency_with-warmup,prefix_aware,32,4,True,1000,400,49.0841,400,8.1493,7207.7464,260.7767,36.2342,34.0512,9.1602,75.6962,14.6149,14.5322,0.4776,15.7563,14.6559,14.3229,2.7488,25.9308,489.2956,488.1913
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,4-gpu_4-concurrency_with-warmup,random,32,4,True,1000,400,51.8262,400,7.7181,6826.39,246.9792,48.3096,37.7998,27.8472,152.3718,15.0762,14.8545,1.0269,18.6903,15.1239,14.4342,4.9581,29.0504,515.6707,501.9267
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,4-gpu_4-concurrency_with-warmup,round_robin,32,4,True,1000,400,49.3596,400,8.1038,7167.5226,259.3214,47.2064,34.8297,27.3709,144.9352,14.3599,14.2897,0.3931,15.7992,14.4011,14.2669,2.9628,20.626,492.363,477.8235
L4,Qwen/Qwen2.5-1.5B-Instruct,1,True,1-gpu_10-concurrency,prefix_aware,32,10,False,1000,1000,72.576,1000,13.7787,12326.484,440.9171,201.6508,160.4041,124.2391,634.1507,16.7798,16.3096,1.9395,25.0375,16.7955,16.0953,11.014,27.0981,721.8256,671.2443
L4,Qwen/Qwen2.5-1.5B-Instruct,1,True,1-gpu_10-concurrency,random,32,10,False,1000,1000,71.918,1000,13.9047,12439.264,444.9512,197.5515,151.608,128.0151,645.2515,16.6925,16.3074,1.7825,24.4714,16.706,16.0708,10.1325,27.7352,715.0193,670.1444
L4,Qwen/Qwen2.5-1.5B-Instruct,1,True,1-gpu_10-concurrency,round_robin,32,10,False,1000,1000,71.2018,1000,14.0446,12564.3845,449.4267,192.2966,147.8535,116.5133,595.4691,16.6495,16.2274,1.8788,26.1514,16.6663,16.0314,10.8455,27.1243,708.4298,661.8436
L4,Qwen/Qwen2.5-1.5B-Instruct,1,True,1-gpu_10-concurrency_with-warmup,prefix_aware,32,10,True,1000,1000,64.5206,1000,15.4989,13865.4515,495.9658,137.3904,124.9261,39.5514,225.5511,16.2326,16.1801,0.3631,17.4554,16.2487,16.0334,2.0664,23.6368,640.6016,625.0018
